Index,pl_name,hostname,ra,dec,sy_gaiamag,sy_dist
1680,HATS-77 b,HATS-77,149.8236672,-27.3928174,15.7364,436.176
1681,TOI-1227 b,TOI-1227,186.7673635,-72.4518501,15.2514,100.641
1682,TOI-500 d,TOI-500,106.559098,-47.5878156,10.1026,47.3924
1683,TOI-500 e,TOI-500,106.559098,-47.5878156,10.1026,47.3924
1684,HD 28109 b,HD 28109,65.2383065,-68.1026875,9.29976,139.611
1685,HD 28109 c,HD 28109,65.2383065,-68.1026875,9.29976,139.611
1686,TOI-622 b,TOI-622,125.3050544,-46.4842959,8.89103,123.297
1687,TOI-871 b,TOI-871,74.7376264,-50.6274153,10.3452,68.0473
1688,TOI-2068 b,TOI-2068,186.27356,60.4183455,12.221,52.9328
1689,TOI-1739 b,TOI-1739,240.172481,83.2586589,10.4185,70.9819
1690,TOI-5799 b,TOI-5799,301.630179,15.9891418,12.3212,27.8123
1691,TOI-4559 b,TOI-4559,211.0135378,-30.0141252,12.0797,31.6354
1692,TOI-1899 b,TOI-1899,299.4268472,40.1433462,13.5553,128.438
1693,TOI-4562 b,TOI-4562,112.0100593,-63.5177788,11.9551,339.605
1694,HD 28109 d,HD 28109,65.2383065,-68.1026875,9.29976,139.611
1695,TOI-2641 b,TOI-2641,171.1303716,-42.7321394,11.5712,344.045
1696,TOI-904 b,TOI-904,89.3712733,-83.1297264,11.8559,46.0891
1697,TOI-5126 c,TOI-5126,151.6597827,18.6340631,9.93629,160.414
1698,TOI-2180 b,TOI-2180,277.94363,56.6506789,9.01133,116.685
1699,TOI-771 b,TOI-771,164.1138903,-72.9851736,13.3671,25.2788
1700,TOI-4603 b,TOI-4603,83.8659288,21.2942417,9.07469,225.643
1701,HD 114783 b,HD 114783,198.1818436,-2.2649921,7.31783,21.0628
1702,HD 113337 b,HD 113337,195.4438496,63.610328,5.91168,36.18
1703,TOI-4600 c,TOI-4600,258.4503674,64.5661727,12.4406,216.056
1704,TOI-1680 b,TOI-1680,292.313979,65.9738018,14.6457,37.2209
1705,TOI-712 c,TOI-712,92.9361063,-65.8258386,10.5785,58.6212
1706,HD 113337 c,HD 113337,195.4438496,63.610328,5.91168,36.18
1707,HD 74698 b,HD 74698,130.0744755,-71.8768726,7.60959,52.0648
1708,HD 169830 b,HD 169830,276.9561859,-29.8167919,5.77641,37.6048
1709,HD 62364 b,HD 62364,113.9052658,-75.5442707,7.1814,53.112
1710,HIP 19976 b,HIP 19976,64.2597881,-40.7985198,9.88841,40.2707
1711,HD 167677 b,HD 167677,274.2067844,-11.4067857,8.7114,54.3258
1712,HD 165131 b,HD 165131,271.3444007,-21.6737039,8.26134,57.4263
1713,HD 114082 b,HD 114082,197.3171237,-60.3084347,8.09394,95.3906
1714,HD 135625 b,HD 135625,229.4511514,-45.9225871,7.56578,56.518
1715,HD 185283 b,HD 185283,295.3233609,-56.3221096,8.71311,31.395
1716,HD 16905 b,HD 16905,40.0136203,-61.3550396,9.11324,39.7401
1717,HD 28254 b,HD 28254,66.2108141,-50.6228081,7.49977,55.2884
1718,HD 114783 c,HD 114783,198.1818436,-2.2649921,7.31783,21.0628
1719,HIP 70849 b,HIP 70849,217.3270762,-46.464684,9.69796,24.0572
1720,KMT-2021-BLG-2010L b,KMT-2021-BLG-2010L,268.0085,-32.26975,2,7090
1721,KMT-2022-BLG-1013L b,KMT-2022-BLG-1013L,264.70925,-28.3556694,2,7710
1722,GJ 9404 b,GJ 9404,184.8472095,28.3827126,9.87021,23.8839
1723,TOI-244 b,TOI-244,10.5697537,-36.7179743,11.553,22.0337
1724,HIP 38594 c,HIP 38594,118.5439118,-25.3023073,9.08528,17.7886
1725,TOI-5720 b,TOI-5720,170.3135774,25.2732942,12.8215,35.8256
1726,TOI-6008 b,TOI-6008,310.4487344,49.6468992,13.7122,23.1008
1727,TOI-6086 b,TOI-6086,265.3704236,30.3037755,13.6971,31.4566
1728,TOI-712 d,TOI-712,92.9361063,-65.8258386,10.5785,58.6212
1729,TOI-712 b,TOI-712,92.9361063,-65.8258386,10.5785,58.6212
1730,TOI-813 b,TOI-813,72.6940102,-60.9054608,10.2352,263.145
1731,HD 136352 b,HD 136352,230.4401147,-48.3188174,5.48495,14.682
1732,TOI-2266 b,TOI-2266,245.2800398,31.5770413,14.8319,51.6004
1733,HATS-49 b,HATS-49,6.6135927,-56.3442798,14.5449,324.413
1734,HD 152843 c,HD 152843,253.7848853,20.491524,8.76412,107.898
1735,TOI-2184 b,TOI-2184,100.8331246,-66.9476563,11.8482,788.317
1736,Kepler-32 f,Kepler-32,297.8423073,46.5743595,15.8123,323.847
1737,Kepler-619 b,Kepler-619,290.8490899,48.4159782,14.6704,900.678
1738,Kepler-619 d,Kepler-619,290.8490899,48.4159782,14.6704,900.678
1739,Kepler-619 c,Kepler-619,290.8490899,48.4159782,14.6704,900.678
1740,TOI-4184 b,TOI-4184,43.8284749,-79.4147039,15.5939,69.3649
1741,KMT-2019-BLG-0335L b,KMT-2019-BLG-0335L,262.840125,-29.5906889,2,7710
1742,Kepler-158 c,Kepler-158,284.0323723,39.7815365,14.4165,315.177
1743,KMT-2018-BLG-0885L b,KMT-2018-BLG-0885L,268.9663333,-28.5133611,2,6890
1744,HD 14067 b,HD 14067,34.293348,23.7676546,6.23751,142.024
1745,Kepler-125 c,Kepler-125,298.2581101,47.6050031,14.7675,183.365
1746,WASP-189 b,WASP-189,225.686732,-3.0314874,6.55369,99.731
1747,HD 36384 b,HD 36384,84.9319998,75.0439884,5.48147,209.309
1748,Kepler-236 c,Kepler-236,283.8664285,39.8981928,15.3743,288.763
1749,HATS-54 b,HATS-54,200.6348641,-44.6888393,13.7762,748.585
1750,HIP 81208 C b,HIP 81208 C,248.8075,-35.7247583,2,147.533
1751,HN Lib b,HN Lib,218.5684823,-12.5170062,9.87882,6.24442
1752,Kepler-158 b,Kepler-158,284.0323723,39.7815365,14.4165,315.177
1753,WASP-184 b,WASP-184,209.51701,-30.348153,12.5673,663.231
1754,HAT-P-60 b,HAT-P-60,28.2825719,52.0539209,9.56355,233.22
1755,HD 158259 c,HD 158259,261.3495847,52.7904721,6.30694,27.0498
1756,HAT-P-11 c,HAT-P-11,297.7101763,48.0818635,9.15098,37.7647
1757,TOI-559 b,TOI-559,46.8186159,-31.1629951,10.9777,233.266
1758,psi1 Dra B b,psi1 Dra B,265.4925754,72.1557114,5.64766,22.7188
1759,Kepler-127 d,Kepler-127,285.1899439,46.0280596,11.4381,352.794
1760,Kepler-127 c,Kepler-127,285.1899439,46.0280596,11.4381,352.794
1761,WASP-193 b,WASP-193,164.3491401,-29.9971229,12.0421,362.087
1762,TOI-1823 b,TOI-1823,196.2197201,63.753261,10.3908,71.6456
1763,GJ 806 b,GJ 806,311.2697002,44.5002351,9.82461,12.0445
1764,GJ 806 c,GJ 806,311.2697002,44.5002351,9.82461,12.0445
1765,KELT-21 b,KELT-21,304.8000322,32.5810446,10.5415,470.878
1766,TOI-1201 b,TOI-1201,42.2476999,-14.5372835,12.0966,37.8871
1767,TOI-1478 b,TOI-1478,126.4337428,-13.5595485,10.6624,152.892
1768,TOI-128.01,TOI-128,79.5209381,-80.964384,8.37173,68.4727
1769,HATS-23 b,HATS-23,286.36675,-50.0673496,13.752,639.004
1770,WASP-150 b,WASP-150,264.2630197,53.0212751,11.9151,527.995
1771,TOI-2202 c,TOI-2202,51.2284214,-73.9575458,12.7606,235.933
1772,HATS-74 A b,HATS-74 A,171.0147921,-19.5569588,15.9837,299.389
1773,GJ 832 b,GJ 832,323.3912616,-49.0125169,7.73761,4.96435
1774,Kepler-347 c,Kepler-347,289.1995995,49.3056404,14.4892,1298.88
1775,OGLE-TR-113 b,OGLE-TR-113,163.1010355,-61.4468591,15.443,566.459
1776,KOI-217 b,KOI-217,294.8654667,46.2858128,15.1013,914.699
1777,Kepler-43 b,Kepler-43,285.2408288,46.6682411,13.8894,1005.84
1778,GJ 357 d,GJ 357,144.0074644,-21.6650634,9.88036,9.44181
1779,Kepler-410 A b,Kepler-410 A,283.1510448,45.1400838,9.3748,147.527
1780,HD 5278 c,HD 5278,12.5467785,-83.7437671,7.80375,57.5846
1781,HAT-P-44 c,HAT-P-44,213.1438604,47.0147826,12.9729,347.85
1782,TOI-5398 b,TOI-5398,161.8795569,36.3294345,9.98233,130.855
1783,TOI-1338 c,TOI-1338 A,92.1330955,-59.5409853,11.8764,399.017
1784,Kepler-68 e,Kepler-68,291.0323102,49.0402129,9.93355,144.166
1785,GJ 9066 c,GJ 9066,30.0588307,13.0443172,10.6711,4.471
1786,Proxima Cen b,Proxima Cen,217.3934657,-62.6761821,8.95361,1.30119
1787,GJ 1151 c,GJ 1151,177.7304866,48.3732334,11.6938,8.03625
1788,Kepler-723 b,Kepler-723,284.8304434,44.6580932,15.201,1071.8
1789,Kepler-8 b,Kepler-8,281.2881335,42.4510975,13.5299,1021.87
1790,TOI-5076 b,TOI-5076,50.5104166,17.2392094,10.5927,82.857
1791,HD 284149 AB b,HD 284149 A,61.6616887,20.3030344,9.41967,117.807
1792,Kepler-428 b,Kepler-428,290.5817432,40.5773106,15.2218,686.284
1793,Kepler-62 d,Kepler-62,283.2125621,45.3496992,13.7197,300.874
1794,Kepler-45 b,Kepler-45,292.8729292,41.0641727,15.9804,381.949
1795,Kepler-670 b,Kepler-670,297.0154644,49.2252988,15.0268,939.744
1796,HD 44219 b,HD 44219,95.0599971,-10.7250799,7.52973,52.9051
1797,HD 215497 c,HD 215497,341.652714,-56.5997984,8.68605,40.5468
1798,Gl 686 b,Gl 686,264.4764878,18.5959509,8.73899,8.15728
1799,HAT-P-63 b,HAT-P-63,269.5720695,5.7613709,13.5106,403.458
1800,Kepler-426 b,Kepler-426,289.4346668,49.473455,14.8069,843.695
1801,Kepler-1517 b,Kepler-1517,287.8072115,43.1888008,12.1739,847.299
1802,Kepler-731 b,Kepler-731,296.3931945,45.568533,15.2848,1257.16
1803,Kepler-548 b,Kepler-548,299.9059167,45.4396103,14.9844,751.776
1804,Kepler-471 b,Kepler-471,299.0975167,43.4975851,13.7887,1249.41
1805,Kepler-485 b,Kepler-485,294.9963415,50.4700458,14.8981,1140.95
1806,HD 151450 c,HD 151450,252.0080127,-15.964345,7.28278,43.6002
1807,HD 153557 c,HD 153557,254.4706516,47.3678558,7.50548,17.9412
1808,HD 155918 c,HD 155918,260.5364025,-75.349239,6.8406,27.561
1809,HIP 90988 b,HIP 90988,278.3892816,-50.211692,7.46648,94.0349
1810,HD 18143 c,HD 18143,43.9140248,26.8723829,7.33209,22.5243
1811,HD 199509 b,HD 199509,317.3445632,-82.0274926,6.817,24.3056
1812,HD 205158 b,HD 205158,323.9186227,-59.6933144,7.71934,86.6159
1813,HD 213519 b,HD 213519,337.7727845,45.1452472,7.51625,41.0014
1814,HD 25912 c,HD 25912,60.9074988,-51.9315058,8.02788,49.1661
1815,HD 28192 b,HD 28192,66.7032517,-1.7244842,7.89874,49.8063
1816,GJ 229 A c,GJ 229,92.6435993,-21.8677233,7.30724,5.75624
1817,HD 15906 b,HD 15906,38.2712534,-10.352178,9.47728,45.5621
1818,GJ 2030 c,GJ 2030,50.8237604,-7.7950429,6.02088,37.0788
1819,GJ 676 A c,GJ 676 A,262.5448903,-51.6377777,8.86517,16.0272
1820,HD 115404 A c,HD 115404 A,199.2155793,17.0160384,6.28558,10.9816
1821,HD 89839 b,HD 89839,155.168879,-53.6640291,7.51304,57.3063
1822,WASP-39 b,WASP-39,217.3266477,-3.4444994,11.8867,213.982
1823,Kepler-126 b,Kepler-126,289.3473634,44.2084445,10.454,237.401
1824,HD 196067 b,HD 196067,310.4364195,-75.3514992,6.33009,39.9346
1825,Kepler-131 c,Kepler-131,288.5308924,40.942373,11.4904,228.678
1826,HD 108202 b,HD 108202,186.4613189,-1.1109233,9.78272,38.6846
1827,Kepler-450 d,Kepler-450,295.4865821,51.0135237,11.6525,455.982
1828,Kepler-91 b,Kepler-91,285.6729033,44.1167513,12.4762,1294.69
1829,Kepler-63 b,Kepler-63,289.2262876,49.5482814,11.5352,194.033
1830,Kepler-15 b,Kepler-15,296.2005506,49.1400304,13.7136,739.412
1831,KMT-2022-BLG-0371L b,KMT-2022-BLG-0371L,265.3619167,-34.6986694,2,7140
1832,Kepler-139 c,Kepler-139,282.3919451,43.8894167,12.677,391.038
1833,KOI-2513.01,KOI-2513,293.6688776,46.3792321,14.809,1369.87
1834,HATS-51 b,HATS-51,102.8474248,-29.0586551,12.3293,389.57
1835,WASP-41 c,WASP-41,190.6188034,-30.6398176,11.2823,163.371
1836,Kepler-100 d,Kepler-100,291.3861294,41.9901394,11.1293,304.645
1837,Kepler-444 c,Kepler-444,289.7528323,41.631884,8.643251,36.4396
1838,Kepler-444 e,Kepler-444,289.7528323,41.631884,8.643251,36.4396
1839,Kepler-131 b,Kepler-131,288.5308924,40.942373,11.4904,228.678
1840,Kepler-220 d,Kepler-220,291.5060432,46.8956262,12.8566,171.109
1841,Kepler-220 b,Kepler-220,291.5060432,46.8956262,12.8566,171.109
1842,Kepler-1656 b,Kepler-1656,284.4722473,39.911889,11.0622,185.875
1843,Kepler-95 b,Kepler-95,284.4824281,44.397891,12.3044,445.656
1844,HD 217786 b,HD 217786,345.7838088,-0.4303594,7.63573,55.4847
1845,Kepler-338 e,Kepler-338,282.9790593,40.7844188,12.0828,552.798
1846,Kepler-106 e,Kepler-106,300.864006,44.3375497,12.8391,444.322
1847,Kepler-10 b,Kepler-10,285.679298,50.2414842,10.9191,185.506
1848,GJ 849 b,GJ 849,332.4229938,-4.6408317,9.2245,8.80058
1849,HD 100546 b,HD 100546,173.3555116,-70.1947897,6.65514,109.677
1850,GJ 849 c,GJ 849,332.4229938,-4.6408317,9.2245,8.80058
1851,GJ 328 b,GJ 328,133.7819507,1.5420011,9.2861,20.5266
1852,GJ 649 b,GJ 649,254.5363221,25.7419719,8.81875,10.3796
1853,HD 95086 b,HD 95086,164.2621032,-68.6672917,7.30915,86.2279
1854,Kepler-134 c,Kepler-134,284.7391156,49.5984448,12.2219,334.797
1855,Kepler-106 d,Kepler-106,300.864006,44.3375497,12.8391,444.322
1856,Kepler-139 b,Kepler-139,282.3919451,43.8894167,12.677,391.038
1857,Kepler-406 b,Kepler-406,291.8481764,44.9682807,12.4897,364.03
1858,Kepler-97 b,Kepler-97,287.3265292,48.6733443,12.813,400.907
1859,Kepler-102 e,Kepler-102,281.4824731,47.2078263,11.4784,107.796
1860,HD 219134 g,HD 219134,348.3372026,57.1696255,5.2402,6.53127
1861,Kepler-1651 b,Kepler-1651,283.6282602,48.3908081,13.0716,66.4074
1862,Kepler-685 b,Kepler-685,293.8719143,38.4229184,15.0191,938.715
1863,Kepler-75 b,Kepler-75,291.1376203,36.5773443,15.1789,835.356
1864,WASP-148 b,WASP-148,254.1305022,44.3025361,12.0845,246.353
1865,Kepler-491 b,Kepler-491,287.1305782,42.3501533,13.9616,630.785
1866,Kepler-423 b,Kepler-423,292.8557189,46.3911883,14.28,758.753
1867,KMT-2021-BLG-0712L b,KMT-2021-BLG-0712L,269.2856667,-31.1844694,2,3090
1868,TOI-4479 b,TOI-4479,316.0969388,24.6536739,14.1309,80.6532
1869,MOA-2022-BLG-249L b,MOA-2022-BLG-249L,268.8655417,-28.3060611,2,2000
1870,Kepler-17 b,Kepler-17,298.3952437,47.8149865,14.1311,720.753
1871,Kepler-74 b,Kepler-74,293.0925275,41.3555095,14.3652,1177.55
1872,Kepler-77 b,Kepler-77,289.6079433,44.3454347,13.9172,639.411
1873,Kepler-210 b,Kepler-210,292.5034196,43.0832188,13.8043,232.75
1874,WASP-182 b,WASP-182,311.673345,-41.8209828,11.917,327.602
1875,Kepler-493 b,Kepler-493,295.3075252,38.8815716,15.0352,1745.77
1876,Kepler-425 b,Kepler-425,290.3579781,40.5676965,14.7301,646.647
1877,Kepler-686 b,Kepler-686,285.213819,39.027466,15.5242,1490.94
1878,TOI-411 b,HD 22946,54.819538,-42.7630276,8.1281,62.7792
1879,TOI-411 c,HD 22946,54.819538,-42.7630276,8.1281,62.7792
1880,HD 22946 d,HD 22946,54.819538,-42.7630276,8.1281,62.7792
1881,OGLE-2019-BLG-0468L b,OGLE-2019-BLG-0468L,266.406,-24.4472778,2,4400
1882,OGLE-2019-BLG-0468L c,OGLE-2019-BLG-0468L,266.406,-24.4472778,2,4400
1883,GJ 3222 b,GJ 3222,50.8972464,-40.0762325,2,18.23817
1884,GJ 680 b,GJ 680,263.8072214,-48.6788427,9.28322,9.67315
1885,Kepler-424 c,Kepler-424,298.6249797,48.57745,14.229,698.646
1886,Kepler-424 b,Kepler-424,298.6249797,48.57745,14.229,698.646
1887,gam Cep b,gam Cep,354.8358233,77.6331009,2.92627,14.1024
1888,Kepler-210 c,Kepler-210,292.5034196,43.0832188,13.8043,232.75
1889,Wendelstein-1 b,Wendelstein-1,299.0506412,17.5699627,15.0324,305.3
1890,KMT-2021-BLG-1150L b,KMT-2021-BLG-1150L,268.790125,-31.3133306,2,3800
1891,Kepler-46 d,Kepler-46,289.2687388,42.6041819,15.2548,777.06
1892,Kepler-46 b,Kepler-46,289.2687388,42.6041819,15.2548,777.06
1893,Kepler-48 d,Kepler-48,299.1393094,40.948939,13.0772,306.738
1894,OGLE-2016-BLG-0613L AB b,OGLE-2016-BLG-0613L AB,269.260406,-28.1161671,2,3410
1895,Kepler-762 b,Kepler-762,291.2756631,47.3295107,15.4266,1898.26
1896,Kepler-1972 b,Kepler-1972,288.3953074,39.8725067,11.1438,287.339
1897,Kepler-412 b,Kepler-412,286.1103053,43.6809612,14.2486,1086.24
1898,Kepler-450 b,Kepler-450,295.4865821,51.0135237,11.6525,455.982
1899,Kepler-856 b,Kepler-856,289.6038379,46.3149097,15.557,1351.17
1900,Kepler-1513 b,Kepler-1513,289.7917561,39.2852655,12.9559,349.247
1901,TOI-2010 b,TOI-2010,292.1669417,53.4873694,9.69568,109.19
1902,AU Mic b,AU Mic,311.2911369,-31.34245,7.84038,9.7221
1903,AU Mic c,AU Mic,311.2911369,-31.34245,7.84038,9.7221
1904,AU Mic d,AU Mic,311.2911369,-31.34245,7.84038,9.7221
1905,HIP 54597 b,HIP 54597,167.6082179,-29.4143018,9.4828,39.7429
1906,TOI-4515 b,TOI-4515,21.1861778,21.5130638,11.8121,193.499
1907,TOI-1994 b,TOI-1994,147.1745753,-51.756564,10.428,515.603
1908,HR 2562 b,HR 2562,102.5042716,-60.2486775,5.99741,34.0071
1909,TOI-763 b,TOI-763,194.468098,-39.7580613,9.99915,95.1274
1910,TOI-763 c,TOI-763,194.468098,-39.7580613,9.99915,95.1274
1911,Kepler-48 c,Kepler-48,299.1393094,40.948939,13.0772,306.738
1912,Kepler-432 c,Kepler-432,293.2822344,48.2859173,12.1822,848.023
1913,Kepler-1656 c,Kepler-1656,284.4722473,39.911889,11.0622,185.875
1914,Kepler-197 c,Kepler-197,295.2264739,50.5592348,11.78,330.575
1915,Kepler-522 b,Kepler-522,288.153973,44.0688154,12.1457,639.239
1916,Kepler-495 b,Kepler-495,285.9307362,39.0981201,14.6074,658.924
1917,OGLE-2019-BLG-1180L b,OGLE-2019-BLG-1180L,269.2465417,-27.9754444,2,6070
1918,Kepler-450 c,Kepler-450,295.4865821,51.0135237,11.6525,455.982
1919,Kepler-785 b,Kepler-785,292.0683108,38.8422004,15.7615,642.051
1920,HD 204313 b,HD 204313,322.0510568,-21.7274194,7.83246,47.7945
1921,HD 190984 b,HD 190984,302.8779827,-64.6202728,8.61126,148.187
1922,HD 76920 b,HD 76920,133.820353,-67.2653621,7.5144,184.031
1923,HD 204313 c,HD 204313,322.0510568,-21.7274194,7.83246,47.7945
1924,WASP-148 c,WASP-148,254.1305022,44.3025361,12.0845,246.353
1925,Kepler-718 b,Kepler-718,299.5618676,43.5035173,15.2456,1302.33
1926,Kepler-197 d,Kepler-197,295.2264739,50.5592348,11.78,330.575
1927,TOI-3688 A b,TOI-3688 A,39.2823371,54.8512152,12.3686,396.378
1928,Kepler-495 c,Kepler-495,285.9307362,39.0981201,14.6074,658.924
1929,LHS 1478 b,LHS 1478,44.3388743,76.5514045,12.2598,18.2276
1930,Kepler-145 c,Kepler-145,291.3877397,44.5290465,11.8746,566.85
1931,Kepler-220 c,Kepler-220,291.5060432,46.8956262,12.8566,171.109
1932,Kepler-1624 b,Kepler-1624,292.5798564,37.3762616,15.6681,258.979
1933,KMT-2021-BLG-0909L b,KMT-2021-BLG-0909L,265.6202083,-27.6391389,2,6480
1934,GJ 367 b,GJ 367,146.121464,-45.7790165,9.15159,9.41263
1935,Kepler-92 b,Kepler-92,289.0860607,41.5630224,11.7451,477.992
1936,OGLE-2014-BLG-0124L b,OGLE-2014-BLG-0124L,270.621708,-28.39625,2,4100
1937,HD 204313 e,HD 204313,322.0510568,-21.7274194,7.83246,47.7945
1938,HD 73267 b,HD 73267,129.0735123,-34.4594469,8.67835,50.4093
1939,HD 73267 c,HD 73267,129.0735123,-34.4594469,8.67835,50.4093
1940,HD 150706 b,HD 150706,247.8255687,79.7894032,6.85038,28.2697
1941,OGLE-2017-BLG-0640L b,OGLE-2017-BLG-0640L,267.465125,-29.4615,2,6630
1942,OGLE-2017-BLG-1275L b,OGLE-2017-BLG-1275L,267.9154167,-29.4979694,2,7690
1943,WASP-187 b,WASP-187,17.47474,25.6816494,10.1318,371.414
1944,TOI-5542 b,TOI-5542,302.7984228,-61.1354659,12.2819,348.849
1945,Kepler-855 b,Kepler-855,295.0949565,43.537565,15.0191,1506.58
1946,TOI-4342 c,TOI-4342,324.3894196,-77.9791468,11.9822,61.5204
1947,Kepler-4 b,Kepler-4,285.6154492,50.1357712,12.1577,487.916
1948,TOI-2207 b,TOI-2207,307.5966925,-44.8876181,11.3545,373.345
1949,WASP-84 c,WASP-84,131.1069959,1.8598933,10.5745,100.588
1950,TOI-2337 b,TOI-2337,290.6198948,60.8539035,11.8752,536.046
1951,KELT-6 c,KELT-6,195.9818362,30.640145,10.1934,240.726
1952,TOI-1749 d,TOI-1749,282.7372281,64.419466,13.1798,99.5561
1953,TOI-1468 b,TOI-1468,16.6538724,19.2249195,12.1172,24.7399
1954,Kepler-858 b,Kepler-858,288.8488552,51.2090375,12.411,298.532
1955,TOI-2158 b,TOI-2158,276.8100527,20.5268868,10.6718,198.473
1956,HD 142245 b,HD 142245,238.2342443,15.4306118,7.18949,97.2305
1957,HD 1502 b,HD 1502,4.8214389,14.054683,8.10417,190.953
1958,HD 28678 b,HD 28678,67.8560643,4.5752495,8.05469,189.908
1959,HD 5891 b,HD 5891,15.1383168,20.2923139,7.79825,283.502
1960,HD 82886 b,HD 82886,143.9383526,34.7805902,7.38096,127.061
1961,HD 116029 b,HD 116029,200.1646905,24.6484725,7.60909,123.245
1962,HD 99706 b,HD 99706,172.1261621,43.9662025,7.37747,146.6
1963,HD 163607 c,HD 163607,268.4181383,56.3924701,7.81298,67.7855
1964,HD 164509 b,HD 164509,270.3800811,0.1044685,7.95594,53.1119
1965,HD 181720 b,HD 181720,290.7212224,-32.9208401,7.67484,60.2046
1966,HD 103774 b,HD 103774,179.2310729,-12.1079951,7.00938,56.4089
1967,HD 109271 c,HD 109271,188.397397,-11.6215204,7.87816,55.8716
1968,HD 10647 b,HD 10647,25.6233526,-53.7412852,5.38178,17.3357
1969,HATS-48 A b,HATS-48 A,288.6720048,-59.5793505,13.8951,263.609
1970,HATS-7 b,HATS-7,208.8567465,-21.2078587,13.0499,240.707
1971,HATS-34 b,HATS-34,0.7744866,-62.4693167,13.679,508.842
1972,WASP-165 b,WASP-165,357.5806472,-17.0775947,12.5435,602.236
1973,Kepler-65 d,Kepler-65,288.6887221,41.1511076,10.9656,303.728
1974,Kepler-30 c,Kepler-30,285.2836483,38.9472625,15.3761,914.221
1975,Kepler-30 b,Kepler-30,285.2836483,38.9472625,15.3761,914.221
1976,Kepler-30 d,Kepler-30,285.2836483,38.9472625,15.3761,914.221
1977,Kepler-720 b,Kepler-720,298.6356478,44.1709388,15.1635,1065.37
1978,TOI-4582 b,TOI-4582,256.8601374,68.8656263,11.0809,383.846
1979,TOI-2421 b,TOI-2421,33.1540208,-35.3909182,11.1554,327.927
1980,HIP 57274 b,HIP 57274,176.1705487,30.9576484,8.57069,25.8618
1981,HIP 57274 c,HIP 57274,176.1705487,30.9576484,8.57069,25.8618
1982,PSR B1257+12 c,PSR B1257+12,195.0149029,12.6823534,2,600
1983,BD+15 2940 b,BD+15 2940,240.09564,15.5467507,8.7178,426.42
1984,mu Leo b,mu Leo,148.1898673,26.0067142,3.52769,32.6081
1985,CoRoT-9 b,CoRoT-9,280.7866461,6.2040783,13.5008,412.98
1986,Kepler-100 b,Kepler-100,291.3861294,41.9901394,11.1293,304.645
1987,TOI-942 c,TOI-942,76.6496172,-20.2456126,11.6346,152.601
1988,HATS-28 b,HATS-28,284.3997616,-49.1385126,13.7929,535.383
1989,TOI-4342 b,TOI-4342,324.3894196,-77.9791468,11.9822,61.5204
1990,LP 890-9 b,LP 890-9,64.1309096,-28.3157909,15.8213,32.4298
1991,TOI-277 b,TOI-277,19.0766985,-20.9532772,12.7896,64.6692
1992,HD 65216 c,HD 65216,118.4209646,-63.6466892,7.7943,35.1205
1993,HD 50499 b,HD 50499,103.008075,-33.915267,7.0564,46.2845
1994,DH Tau b,DH Tau,67.4231674,26.5493897,12.4961,134.846
1995,Kepler-33 c,Kepler-33,289.0775348,46.0051696,13.9513,1209.16
1996,TOI-1468 c,TOI-1468,16.6538724,19.2249195,12.1172,24.7399
1997,TOI-1696 b,TOI-1696,65.280648,48.8198312,15.3314,64.9172
1998,HIP 65426 b,HIP 65426,201.1501727,-51.5045384,6.98273,108.875
1999,GJ 367 c,GJ 367,146.121464,-45.7790165,9.15159,9.41263
2000,GJ 367 d,GJ 367,146.121464,-45.7790165,9.15159,9.41263
2001,GJ 3090 b,GJ 3090,20.4384281,-46.7147234,10.5521,22.4751
2002,TOI-2134 c,TOI-2134,271.9355015,39.0729269,8.5077,22.6202
2003,HATS-71 b,HATS-71,15.5518893,-61.7561333,15.3512,140.225
2004,91 Aqr b,91 Aqr,348.9745031,-9.0878076,3.95311,44.0304
2005,Kepler-109 c,Kepler-109,290.3926795,40.2849074,12.2955,474.861
2006,Kepler-102 d,Kepler-102,281.4824731,47.2078263,11.4784,107.796
2007,Kepler-25 c,Kepler-25,286.6383905,39.4879038,10.6319,243.249
2008,Kepler-25 b,Kepler-25,286.6383905,39.4879038,10.6319,243.249
2009,Kepler-113 c,Kepler-113,287.9978721,50.9441847,13.4598,262.351
2010,Kepler-113 b,Kepler-113,287.9978721,50.9441847,13.4598,262.351
2011,Kepler-103 c,Kepler-103,288.9845512,40.0644857,12.2466,494.832
2012,Kepler-98 b,Kepler-98,285.6616933,37.9645672,12.8694,350.315
2013,Kepler-99 b,Kepler-99,297.3539994,41.3000452,12.9618,208.369
2014,Kepler-407 b,Kepler-407,286.0363025,49.6145027,12.5074,338.368
2015,LP 890-9 c,LP 890-9,64.1309096,-28.3157909,15.8213,32.4298
2016,TOI-1470 c,TOI-1470,10.0891431,61.2133868,12.5555,51.9503
2017,TOI-2076 b,TOI-2076,217.3920159,39.7903991,8.91028,41.9091
2018,TOI-1174 b,TOI-1174,209.2171751,68.6182106,10.8073,94.6375
2019,TOI-1347 b,TOI-1347,280.3266806,70.2900536,11.2087,147.476
2020,HD 63433 d,HD 63433,117.4793699,27.3631342,6.71831,22.4035
2021,TOI-663 b,TOI-663,160.0658525,-8.5110827,12.8191,64.2308
2022,TOI-663 c,TOI-663,160.0658525,-8.5110827,12.8191,64.2308
2023,TOI-663 d,TOI-663,160.0658525,-8.5110827,12.8191,64.2308
2024,Kepler-38 b,Kepler-38,286.830312,42.2791434,13.9066,1174.59
